Node ID;Shell index;Degree
168;10.00;0.11
169;9.00;0.11
170;9.00;0.08
171;9.00;0.08
172;11.00;0.38
173;10.00;0.08
174;6.00;0.04
175;7.00;0.05
176;9.00;0.08
177;9.00;0.16
178;10.00;0.11
179;10.00;0.10
180;10.00;0.08
181;9.00;0.08
182;9.00;0.08
183;5.00;0.03
184;9.00;0.08
185;9.00;0.08
186;7.00;0.05
187;10.00;0.19
188;7.00;0.05
189;10.00;0.13
190;10.00;0.23
191;10.00;0.23
192;9.00;0.10
193;10.00;0.15
194;9.00;0.06
195;10.00;0.19
196;7.00;0.05
197;10.00;0.11
198;10.00;0.14
199;10.00;0.14
200;10.00;0.11
201;10.00;0.14
202;10.00;0.14
203;10.00;0.14
204;10.00;0.20
205;10.00;0.14
206;10.00;0.10
207;10.00;0.20
208;6.00;0.05
209;10.00;0.10
210;10.00;0.08
211;8.00;0.06
212;7.00;0.05
213;10.00;0.16
214;10.00;0.09
215;10.00;0.08
216;10.00;0.08
217;9.00;0.06
218;10.00;0.16
219;10.00;0.14
220;8.00;0.06
221;9.00;0.06
222;3.00;0.02
223;3.00;0.02
224;10.00;0.11
225;10.00;0.09
226;11.00;0.17
227;9.00;0.08
228;8.00;0.08
229;7.00;0.05
230;8.00;0.05
231;10.00;0.11
232;10.00;0.08
233;10.00;0.13
234;9.00;0.08
235;5.00;0.03
236;7.00;0.05
237;7.00;0.05
238;9.00;0.08
239;9.00;0.06
240;6.00;0.04
241;8.00;0.06
242;1.00;0.00
243;1.00;0.00
244;9.00;0.07
245;10.00;0.16
246;7.00;0.05
247;5.00;0.03
248;5.00;0.03
249;7.00;0.05
250;5.00;0.03
251;2.00;0.01
252;6.00;0.04
253;8.00;0.08
254;6.00;0.04
255;8.00;0.06
256;8.00;0.07
257;8.00;0.07
258;6.00;0.04
259;6.00;0.05
260;1.00;0.00
261;6.00;0.04
262;4.00;0.02
263;5.00;0.03
264;4.00;0.02
265;5.00;0.03
266;4.00;0.02
267;5.00;0.03
268;7.00;0.06
269;9.00;0.08
270;4.00;0.02
271;7.00;0.08
272;5.00;0.03
273;7.00;0.07
274;4.00;0.02
275;9.00;0.09
276;7.00;0.11
277;7.00;0.08
278;7.00;0.05
279;4.00;0.02
280;3.00;0.02
281;2.00;0.01
282;6.00;0.04
283;7.00;0.05
284;9.00;0.11
285;1.00;0.00
286;1.00;0.00
287;1.00;0.00
288;1.00;0.00
289;1.00;0.00
290;1.00;0.00
291;1.00;0.00
292;1.00;0.00
293;1.00;0.00
294;1.00;0.00
295;1.00;0.00
296;1.00;0.00
0;8.00;1.00
1;8.00;1.00
2;8.00;1.00
3;8.00;1.00
4;8.00;0.80
5;8.00;1.00
6;8.00;1.00
7;8.00;1.00
8;8.00;0.80
9;8.00;0.80
10;8.00;0.60
11;8.00;0.60
12;8.00;0.60
13;8.00;0.80
14;8.00;0.60
15;8.00;1.00
16;8.00;0.80
17;8.00;0.80
18;8.00;0.80
19;8.00;0.80
20;8.00;0.80
21;8.00;0.80
22;8.00;0.80
23;8.00;0.80
24;8.00;0.60
25;8.00;0.80
26;8.00;0.60
27;8.00;0.80
28;8.00;0.40
29;8.00;0.80
30;8.00;0.80
31;8.00;0.80
32;8.00;0.80
33;8.00;0.60
34;8.00;0.80
35;8.00;0.80
36;8.00;0.20
37;8.00;0.80
38;8.00;0.80
39;8.00;0.80
40;8.00;0.80
41;8.00;0.60
42;7.00;0.00
43;8.00;0.80
44;8.00;0.80
45;8.00;0.80
46;9.00;0.80
47;8.00;0.80
48;8.00;0.80
49;9.00;0.80
50;8.00;0.40
51;8.00;0.80
52;8.00;0.60
53;8.00;1.00
54;8.00;0.60
55;8.00;0.80
56;8.00;0.60
57;8.00;0.60
58;8.00;0.60
59;8.00;0.20
60;8.00;0.80
61;8.00;0.80
62;8.00;0.80
63;8.00;0.40
64;8.00;0.80
65;8.00;0.80
66;8.00;0.80
67;9.00;1.00
68;8.00;0.80
69;8.00;0.80
70;8.00;0.80
71;8.00;0.60
72;8.00;0.80
73;9.00;0.80
74;8.00;0.80
75;8.00;0.60
76;8.00;0.80
77;8.00;0.80
78;8.00;0.80
79;8.00;0.80
80;8.00;0.80
81;8.00;0.80
82;8.00;0.80
83;9.00;0.80
84;8.00;0.80
85;8.00;0.40
86;8.00;0.80
87;8.00;0.80
88;8.00;1.00
89;8.00;0.80
90;8.00;0.40
91;8.00;0.80
92;8.00;0.80
93;8.00;0.60
94;8.00;0.60
95;8.00;0.60
96;8.00;0.60
97;8.00;0.20
98;8.00;0.80
99;8.00;0.60
100;8.00;0.80
101;8.00;0.60
102;8.00;0.60
103;8.00;0.60
104;8.00;1.00
105;8.00;0.60
106;8.00;0.80
107;8.00;0.60
108;8.00;0.60
109;8.00;0.80
110;8.00;0.80
111;8.00;0.80
112;8.00;0.60
113;8.00;0.60
114;8.00;0.80
Spearmans correlation;0.20
